hotel_name,hotel_adress,raiting_stars,url
LEGOLAND Hotel Dubai,"Dubai Parks and Resorts, Dubai World Central, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/legoland-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=151&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538125&map_fdco=1&from=searchresults#hotelTmpl
Two Seasons Hotel & Apartments,"Sheikh Zayed Road, Dubai Internet City, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/gloria.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=162&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538125&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Leva Hotel and Suites, Opposite Downtown","City Walk, Dubai, Al Wasl, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/leva-apartments.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=166&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538125&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Millennium Central Downtown,"Al Asayel Street, Business Bay, Dubai, United Arab Emirates, 115138 Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/m-hotel-downtown-by-millennium.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=181&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538131&map_fdco=1&from=searchresults#hotelTmpl
Five Palm Jumeirah Dubai,"Palm Jumeirah, Palm Jumeirah, Dubai, United Arab Emirates",5,https://www.booking.com/hotel/ae/five-palm-jumeirah-dubai.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=189&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538131&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Raintree Rolla Hotel,"Rolla Road, Bur Dubai, Bur Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/raintree-rolla.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=203&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538136&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
"Leva Hotel and Suites, Opposite Downtown","City Walk, Dubai, Al Wasl, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/leva-apartments.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=205&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538136&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Vida Creek Harbour,"Dubai Creek Harbour, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/vida-harbour-point.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=210&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538136&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Royal Marina Inn,"Marina Diamond 2, Dubai Marina, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/marina-mansions.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=232&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538142&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Vida Downtown,"Sheikh Mohammed Bin Rashid Boulevard, Downtown Dubai, PO Box 114788, Downtown Dubai, Dubai, United Arab Emirates",4,https://www.booking.com/hotel/ae/qamardeen.en-gb.html?label=gen173nr-1BCAEoggI46AdIM1gEaO4BiAEBmAEJuAEXyAEM2AEB6AEBiAIBqAIDuAKsmeWhBsACAdICJDM4YjEzMzAxLWE2MTMtNGJiNi05OWZhLTViYzZkODBiMTMzYtgCBeACAQ&sid=ed2a5713498518492dcc3228c24e2c68&aid=304142&ucfs=1&arphpl=1&dest_id=-782831&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=251&sr_order=popularity&srpvid=8ac929926c950522&srepoch=1681538147&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
